,0,1,2,3
0,0,3,0,0
1,2,1,0,0
2,2,1,0,0
3,1,1,1,0
4,2,1,0,0
5,2,1,0,0
6,3,0,0,0
7,1,2,0,0
8,1,2,0,0
9,2,1,0,0
10,0,2,0,1
11,2,1,0,0
12,1,2,0,0
13,1,2,0,0
14,2,1,0,0
15,2,1,0,0
16,2,1,0,0
17,2,1,0,0
18,2,1,0,0
19,1,2,0,0
20,2,1,0,0
21,1,2,0,0
22,1,1,1,0
23,1,1,1,0
24,1,2,0,0
25,2,0,0,1
26,2,0,0,1
27,1,2,0,0
28,1,2,0,0
29,1,2,0,0
30,1,0,1,1
31,0,1,2,0
32,0,3,0,0
33,3,0,0,0
34,0,2,1,0
35,2,1,0,0
36,3,0,0,0
37,2,1,0,0
38,1,2,0,0
39,1,2,0,0
40,0,1,2,0
41,1,2,0,0
42,2,1,0,0
43,1,1,0,1
44,1,1,0,1
45,1,2,0,0
46,3,0,0,0
47,1,1,1,0
48,2,1,0,0
49,2,1,0,0
50,1,1,1,0
51,0,1,2,0
52,1,1,0,1
53,0,3,0,0
54,1,2,0,0
55,3,0,0,0
56,2,1,0,0
57,0,2,1,0
58,2,1,0,0
59,1,1,1,0
60,1,1,0,1
61,1,2,0,0
62,2,1,0,0
63,1,1,1,0
64,1,1,1,0
65,3,0,0,0
66,2,0,1,0
67,1,1,1,0
68,2,0,1,0
69,1,1,1,0
70,1,2,0,0
71,2,1,0,0
72,1,2,0,0
73,1,2,0,0
74,3,0,0,0
75,2,1,0,0
76,3,0,0,0
77,1,1,0,1
78,0,1,1,1
79,2,0,1,0
80,1,2,0,0
81,1,2,0,0
82,1,2,0,0
83,2,1,0,0
84,1,2,0,0
85,2,1,0,0
86,2,1,0,0
87,1,2,0,0
88,0,2,0,1
89,2,1,0,0
90,1,2,0,0
91,2,0,0,1
92,2,0,0,1
93,0,2,1,0
94,1,1,0,1
95,0,2,1,0
96,2,0,1,0
97,2,1,0,0
98,2,1,0,0
99,0,3,0,0
100,1,2,0,0
101,0,1,1,1
102,2,1,0,0
103,1,2,0,0
104,2,0,1,0
105,1,2,0,0
106,2,1,0,0
107,1,1,1,0
108,3,0,0,0
109,3,0,0,0
110,1,2,0,0
111,0,3,0,0
112,2,1,0,0
113,1,2,0,0
114,2,1,0,0
115,2,0,1,0
116,2,1,0,0
117,3,0,0,0
118,1,2,0,0
119,0,3,0,0
120,0,1,2,0
121,0,2,1,0
122,2,1,0,0
123,2,1,0,0
124,2,1,0,0
125,1,2,0,0
126,2,0,1,0
127,3,0,0,0
128,1,2,0,0
129,2,1,0,0
130,0,2,1,0
131,1,2,0,0
132,2,1,0,0
133,2,1,0,0
134,3,0,0,0
135,1,1,0,1
136,2,0,1,0
137,1,2,0,0
138,2,1,0,0
139,1,0,0,2
140,2,1,0,0
141,3,0,0,0
142,1,1,1,0
143,0,3,0,0
144,2,0,1,0
145,1,1,1,0
146,3,0,0,0
147,2,1,0,0
148,1,2,0,0
149,1,1,1,0
150,2,0,1,0
151,1,2,0,0
152,1,1,1,0
153,1,2,0,0
154,1,2,0,0
155,3,0,0,0
156,1,2,0,0
157,2,1,0,0
158,1,1,0,1
159,0,2,1,0
160,2,0,0,1
161,3,0,0,0
162,1,2,0,0
163,2,0,1,0
164,1,2,0,0
165,2,1,0,0
166,2,0,1,0
167,3,0,0,0
168,3,0,0,0
169,1,2,0,0
170,1,1,1,0
171,1,2,0,0
172,1,2,0,0
173,2,1,0,0
174,0,0,3,0
175,1,2,0,0
176,1,2,0,0
177,3,0,0,0
178,2,0,1,0
179,2,0,1,0
180,0,2,1,0
181,0,3,0,0
182,1,2,0,0
183,2,0,1,0
184,2,1,0,0
185,1,1,1,0
186,0,2,0,1
187,2,1,0,0
188,2,1,0,0
189,1,2,0,0
190,2,1,0,0
191,1,1,1,0
192,1,0,1,1
193,3,0,0,0
194,2,1,0,0
195,1,0,2,0
196,3,0,0,0
197,2,1,0,0
198,0,2,1,0
199,2,0,1,0
200,2,1,0,0
201,2,1,0,0
202,1,0,2,0
203,0,2,0,1
204,2,1,0,0
205,2,1,0,0
206,0,2,1,0
207,3,0,0,0
208,2,1,0,0
209,1,1,1,0
210,2,1,0,0
211,0,2,1,0
212,0,1,2,0
213,1,2,0,0
214,1,1,1,0
215,1,1,1,0
216,0,3,0,0
217,1,2,0,0
218,1,2,0,0
219,1,1,1,0
220,1,2,0,0
221,1,2,0,0
222,1,2,0,0
223,2,1,0,0
224,2,0,1,0
225,2,1,0,0
226,1,0,2,0
227,1,1,1,0
228,1,2,0,0
229,2,1,0,0
230,2,1,0,0
231,1,0,1,1
232,1,2,0,0
233,2,1,0,0
234,1,2,0,0
235,2,1,0,0
236,1,2,0,0
237,3,0,0,0
238,2,1,0,0
239,2,1,0,0
240,1,1,1,0
241,2,1,0,0
242,2,1,0,0
243,1,2,0,0
244,1,1,1,0
245,2,0,1,0
246,1,2,0,0
247,1,1,1,0
248,0,3,0,0
249,2,1,0,0
250,2,0,1,0
251,1,2,0,0
252,2,1,0,0
253,1,1,1,0
254,2,0,1,0
255,2,0,0,1
256,2,0,1,0
257,1,2,0,0
258,1,1,0,1
259,1,1,1,0
260,2,1,0,0
261,1,1,1,0
262,3,0,0,0
263,0,2,1,0
264,2,1,0,0
265,1,2,0,0
266,0,1,2,0
267,3,0,0,0
268,1,1,1,0
269,1,2,0,0
270,2,0,1,0
271,1,2,0,0
272,1,1,1,0
273,2,1,0,0
274,1,2,0,0
275,1,2,0,0
276,3,0,0,0
277,2,1,0,0
278,1,0,1,1
279,3,0,0,0
280,1,1,1,0
281,1,0,2,0
282,0,2,1,0
283,1,2,0,0
284,2,0,1,0
285,2,1,0,0
286,2,0,1,0
287,1,0,1,1
288,1,1,1,0
289,3,0,0,0
290,2,1,0,0
291,0,1,2,0
292,2,1,0,0
293,2,1,0,0
294,1,2,0,0
295,1,2,0,0
296,1,2,0,0
297,2,0,0,1
298,1,1,1,0
299,0,3,0,0
300,1,2,0,0
301,1,0,2,0
302,3,0,0,0
303,0,3,0,0
304,3,0,0,0
305,3,0,0,0
306,2,0,1,0
307,0,2,1,0
308,1,2,0,0
309,0,3,0,0
310,2,0,1,0
311,1,2,0,0
312,2,0,1,0
313,2,1,0,0
314,1,2,0,0
315,1,1,1,0
316,3,0,0,0
317,3,0,0,0
318,2,0,1,0
319,0,2,1,0
320,1,2,0,0
321,1,1,1,0
322,0,1,1,1
323,2,1,0,0
324,0,2,1,0
325,0,1,1,1
326,1,1,1,0
327,2,1,0,0
328,1,0,2,0
329,1,1,0,1
330,1,1,1,0
331,1,2,0,0
332,2,1,0,0
333,2,1,0,0
334,1,2,0,0
335,2,1,0,0
336,1,1,1,0
337,1,2,0,0
338,1,2,0,0
339,2,1,0,0
340,1,2,0,0
341,2,0,1,0
342,1,1,1,0
343,1,2,0,0
344,1,1,1,0
345,1,2,0,0
346,2,1,0,0
347,2,1,0,0
348,0,3,0,0
349,2,1,0,0
350,2,1,0,0
351,1,0,2,0
352,1,2,0,0
353,1,1,0,1
354,1,1,1,0
355,2,1,0,0
356,1,2,0,0
357,3,0,0,0
358,2,0,1,0
359,0,2,1,0
360,0,2,1,0
361,1,2,0,0
362,1,2,0,0
363,3,0,0,0
364,3,0,0,0
365,2,0,1,0
366,1,2,0,0
367,2,1,0,0
368,1,2,0,0
369,2,0,1,0
370,3,0,0,0
371,2,0,1,0
372,2,0,1,0
373,1,2,0,0
374,2,1,0,0
375,2,1,0,0
376,2,0,1,0
377,2,1,0,0
378,1,2,0,0
379,3,0,0,0
380,0,3,0,0
381,1,2,0,0
382,1,2,0,0
383,2,0,1,0
384,0,2,1,0
385,1,2,0,0
386,1,2,0,0
387,3,0,0,0
388,3,0,0,0
389,1,0,2,0
390,1,1,0,1
391,1,1,1,0
392,1,2,0,0
393,1,2,0,0
394,1,1,1,0
395,3,0,0,0
396,2,1,0,0
397,2,1,0,0
398,1,1,1,0
399,0,2,1,0
400,2,0,1,0
401,0,3,0,0
402,1,2,0,0
403,1,1,1,0
404,3,0,0,0
405,2,1,0,0
406,1,1,1,0
407,0,3,0,0
408,2,1,0,0
409,1,2,0,0
410,0,2,1,0
411,2,0,1,0
412,1,2,0,0
413,2,1,0,0
414,2,1,0,0
415,1,2,0,0
416,3,0,0,0
417,1,2,0,0
