<<<<<<< HEAD
"","experiment_group","text","tweet_id","tweet_likes","retweets","tweet_created_at","user_id","in_reply_to_status_id","in_reply_to_user_id","in_reply_to_screen_name","dow","month_day","time","yr","ymd","tweet_id_char","created_at","description","location","followers_count","screen_name","statuses_count","favourites_count","verified","user_id_char"
"1","msnbc","@MSNBC @MaddowBlog “Simpleton’s defense”?  You mean convincing voters that hardworking tax payers shouldn’t have to pay off someone else’s student loan?  Not to mention, it’s illegal.",1596987727953924096,4,0,"Sun Nov 27 22:01:59 +0000 2022",1518749825092788224,1596987299044200448,2836421,"MSNBC","Sun","Nov 27","22:01:59"," 2022",2022-11-27,"1596987727953924096","Tue Apr 26 00:33:21 +0000 2022","No name","",8,"BigTex1022",2333,1941,"False","1518749825092788224"
"2","msnbc","@MSNBC @MaddowBlog I feel sorry for the suckers who fell for this student loan forgiveness scam and voted for Joe.",1596992880002084864,0,0,"Sun Nov 27 22:22:27 +0000 2022",3202808548,1596987299044200448,2836421,"MSNBC","Sun","Nov 27","22:22:27"," 2022",2022-11-27,"1596992880002084864","Sat Apr 25 00:29:17 +0000 2015","People following me are president Trump supporters. Donald J Trump our 45th President. Retweeted twice by Campaign Trump MAGA 2024 🇺🇸🇺🇸","Massachusetts, USA",874,"michael_favreau",30060,16373,"False","3202808548"
"3","msnbc","@MSNBC @MaddowBlog Setting up a 2024 elections tsunami against rePublicans on: Climate; Mass Shootings; Abortion; and now, Student debt forgiveness.",1596997045000507392,0,0,"Sun Nov 27 22:39:00 +0000 2022",140915711,1596987299044200448,2836421,"MSNBC","Sun","Nov 27","22:39:00"," 2022",2022-11-27,"1596997045000507392","Thu May 06 17:59:58 +0000 2010","Hamiltonian Federalist: i.e., The United States of America IS One Country - Not 50 Pissant states. Not an easy Follow.","Washington, DC",375,"AlxHamiltn",33016,1061,"False","140915711"
=======
"experiment_id","experiment_group","text","tweet_id","tweet_likes","retweets","tweet_created_at","user_id","in_reply_to_status_id","in_reply_to_user_id","in_reply_to_screen_name","dow","month_day","time","yr","ymd","tweet_id_char","created_at","description","location","followers_count","screen_name","statuses_count","favourites_count","verified","user_id_char","text_length","text_word_count"
"1","msnbc","@MSNBC @MaddowBlog “Simpleton’s defense”?  You mean convincing voters that hardworking tax payers shouldn’t have to pay off someone else’s student loan?  Not to mention, it’s illegal.",1596987727953924096,4,0,"Sun Nov 27 22:01:59 +0000 2022",1518749825092788224,1596987299044200448,2836421,"MSNBC","Sun","Nov 27","22:01:59"," 2022",2022-11-27,"1596987727953924096","Tue Apr 26 00:33:21 +0000 2022","No name","",8,"BigTex1022",2333,1941,"False","1518749825092788224",183,30
"2","msnbc","@MSNBC @MaddowBlog I feel sorry for the suckers who fell for this student loan forgiveness scam and voted for Joe.",1596992880002084864,0,0,"Sun Nov 27 22:22:27 +0000 2022",3202808548,1596987299044200448,2836421,"MSNBC","Sun","Nov 27","22:22:27"," 2022",2022-11-27,"1596992880002084864","Sat Apr 25 00:29:17 +0000 2015","People following me are president Trump supporters. Donald J Trump our 45th President. Retweeted twice by Campaign Trump MAGA 2024 🇺🇸🇺🇸","Massachusetts, USA",874,"michael_favreau",30060,16373,"False","3202808548",114,20
"3","msnbc","@MSNBC @MaddowBlog Setting up a 2024 elections tsunami against rePublicans on: Climate; Mass Shootings; Abortion; and now, Student debt forgiveness.",1596997045000507392,0,0,"Sun Nov 27 22:39:00 +0000 2022",140915711,1596987299044200448,2836421,"MSNBC","Sun","Nov 27","22:39:00"," 2022",2022-11-27,"1596997045000507392","Thu May 06 17:59:58 +0000 2010","Hamiltonian Federalist: i.e., The United States of America IS One Country - Not 50 Pissant states. Not an easy Follow.","Washington, DC",375,"AlxHamiltn",33016,1061,"False","140915711",148,20
>>>>>>> 76b394eccded2ee482d65e88a8b2fc477b34299b
"4","msnbc","@MSNBC @MaddowBlog If you can't pay off student loans getting a job with the degree you earned, means all that time and money was pretty much wasted doesn't it?

Person A's poor choices shouldn't be person B's debt to pay off.",1597005760332197888,2,0,"Sun Nov 27 23:13:38 +0000 2022",1933829276,1596987299044200448,2836421,"MSNBC","Sun","Nov 27","23:13:38"," 2022",2022-11-27,"1597005760332197888","Fri Oct 04 10:22:18 +0000 2013","Rule of law makes civilized life possible. Equal opportunity guaranteed, outcome not. Conservatarian, Constitutional Originalist, Carnivore. I think a lot 🇺🇸","where ever there's oil",537,"Oil_vampire",60763,19861,"False","1933829276"
