,experiment_id,experiment_group,text,tweet_id,tweet_likes,retweets,tweet_created_at,user_id,in_reply_to_status_id,in_reply_to_user_id,in_reply_to_screen_name,dow,month_day,time,yr,ymd,tweet_id_char,created_at,description,location,followers_count,screen_name,statuses_count,favourites_count,verified,user_id_char,text_length,text_word_count,opinion_key,opinion_label,opinion_key,opinion_label
0,1,msnbc,"@MSNBC @MaddowBlog “Simpleton’s defense”?  You mean convincing voters that hardworking tax payers shouldn’t have to pay off someone else’s student loan?  Not to mention, it’s illegal.",1.59698772795392E+18,4,0,Sun Nov 27 22:01:59 +0000 2022,1.51874982509279E+18,1.5969872990442E+18,2836421,MSNBC,Sun,Nov 27,22:01:59,2022,2022-11-27,1.59698772795392E+18,Tue Apr 26 00:33:21 +0000 2022,No name,,8,BigTex1022,2333,1941,FALSE,1.51874982509279E+18,183,30,0,FOR student loan forgiveness,0,Very important
1,2,msnbc,@MSNBC @MaddowBlog I feel sorry for the suckers who fell for this student loan forgiveness scam and voted for Joe.,1.59699288000208E+18,0,0,Sun Nov 27 22:22:27 +0000 2022,3202808548.0,1.5969872990442E+18,2836421,MSNBC,Sun,Nov 27,22:22:27,2022,2022-11-27,1.59699288000208E+18,Sat Apr 25 00:29:17 +0000 2015,People following me are president Trump supporters. Donald J Trump our 45th President. Retweeted twice by Campaign Trump MAGA 2024 🇺🇸🇺🇸,"Massachusetts, USA",874,michael_favreau,30060,16373,FALSE,3202808548.0,114,20,1,NEUTRAL support,1,Somewhat important
2,3,msnbc,"@MSNBC @MaddowBlog Setting up a 2024 elections tsunami against rePublicans on: Climate; Mass Shootings; Abortion; and now, Student debt forgiveness.",1.59699704500051E+18,0,0,Sun Nov 27 22:39:00 +0000 2022,140915711.0,1.5969872990442E+18,2836421,MSNBC,Sun,Nov 27,22:39:00,2022,2022-11-27,1.59699704500051E+18,Thu May 06 17:59:58 +0000 2010,"Hamiltonian Federalist: i.e., The United States of America IS One Country - Not 50 Pissant states. Not an easy Follow.","Washington, DC",375,AlxHamiltn,33016,1061,FALSE,140915711.0,148,20,1,NEUTRAL support,1,Somewhat important
3,4,msnbc,"@MSNBC @MaddowBlog If you can't pay off student loans getting a job with the degree you earned, means all that time and money was pretty much wasted doesn't it?

Person A's poor choices shouldn't be person B's debt to pay off.",1.5970057603322E+18,2,0,Sun Nov 27 23:13:38 +0000 2022,1933829276.0,1.5969872990442E+18,2836421,MSNBC,Sun,Nov 27,23:13:38,2022,2022-11-27,1.5970057603322E+18,Fri Oct 04 10:22:18 +0000 2013,"Rule of law makes civilized life possible. Equal opportunity guaranteed, outcome not. Conservatarian, Constitutional Originalist, Carnivore. I think a lot 🇺🇸",where ever there's oil,537,Oil_vampire,60763,19861,FALSE,1933829276.0,226,46,2,AGAINST student loan forgiveness,1,Somewhat important
4,5,msnbc,@MSNBC @MaddowBlog The simple defense is why should I pay for my own student loans and everyone elses?  Its ridiculous what Fuhrer Biden is pushing these days.,1.59702292103762E+18,1,0,Mon Nov 28 00:21:50 +0000 2022,1.5864935759483E+18,1.5969872990442E+18,2836421,MSNBC,Mon,Nov 28,00:21:50,2022,2022-11-28,1.59702292103762E+18,Sat Oct 29 23:02:10 +0000 2022,"Gay Libertarian, married, gun owner, dog daddy, high earner, with little patience for extremists, woke nazis, religious zealots and people who support tax rape.",My house,5,32926Uhtred,1102,320,FALSE,1.5864935759483E+18,159,27,0,FOR student loan forgiveness,1,Somewhat important
5,6,msnbc,@MSNBC @MaddowBlog Nothing simple about it this Student loan forgiveness is UNCONSTITUTIONAL.,1.59702587815572E+18,0,0,Mon Nov 28 00:33:35 +0000 2022,1.58579594350861E+18,1.5969872990442E+18,2836421,MSNBC,Mon,Nov 28,00:33:35,2022,2022-11-28,1.59702587815572E+18,Fri Oct 28 00:50:11 +0000 2022,Gotta enjoy Life while you got it!,,130,RogerWPetersen1,1636,586,FALSE,1.58579594350861E+18,93,12,1,NEUTRAL support,1,Somewhat important
6,7,foxnews,@FoxNews The money they squander. Tax payers money. $85 Billion in Assets from Afghanistan. Pay off student loans.... Where does it end.,1.59709106728301E+18,0,0,Mon Nov 28 04:52:37 +0000 2022,2277551238.0,1.59704766670122E+18,1367531,FoxNews,Mon,Nov 28,04:52:37,2022,2022-11-28,1.59709106728301E+18,Sun Jan 05 12:28:32 +0000 2014,Let's Go!,,28,DurbinPradeepa,1637,1414,FALSE,2277551238.0,136,22,2,AGAINST student loan forgiveness,1,Somewhat important
7,8,msnbc,"@MSNBC Here’s an idea, how about MSM do their job and start calling out the hypocrisy of Republicans who took millions in PPP $ but are too selfish to give some struggling people 10k for a student loan-shame them.",1.59721084710096E+18,0,0,Mon Nov 28 12:48:35 +0000 2022,2275350991.0,1.5972067076414E+18,2836421,MSNBC,Mon,Nov 28,12:48:35,2022,2022-11-28,1.59721084710096E+18,Sat Jan 04 01:18:29 +0000 2014,Library Media Specialist,,200,MsMMassMedia,10030,51900,FALSE,2275350991.0,213,40,0,FOR student loan forgiveness,0,Very important
8,9,msnbc,"@MSNBC Ppp loans were all forgiven for Rich but poor working people still gonna have to pay student loans per Republicans .

Republicans love to sue and keep poor poor .",1.597212294593E+18,1,0,Mon Nov 28 12:54:20 +0000 2022,1.57147164652275E+18,1.5972067076414E+18,2836421,MSNBC,Mon,Nov 28,12:54:20,2022,2022-11-28,1.597212294593E+18,Sun Sep 18 12:11:06 +0000 2022,Jokes and Satire only,,15,Ron07442490,1512,928,FALSE,1.57147164652275E+18,169,29,0,FOR student loan forgiveness,0,Very important
9,10,foxnews,"@FoxNews End the #Ukraine money grab.!! 

Pay-off all student loans first as an investment in America’s future.! (I am 63 - Doesn’t affect me) 
—
End ALL @USAID NOW",1.59722651817832E+18,1,0,Mon Nov 28 13:50:51 +0000 2022,1.47886464487809E+18,1.59689160617444E+18,1367531,FoxNews,Mon,Nov 28,13:50:51,2022,2022-11-28,1.59722651817832E+18,Wed Jan 05 23:03:47 +0000 2022,I’m back - Again - Fighting fascism by Twits,United States,18,squawkCubed,1646,1020,FALSE,1.47886464487809E+18,164,30,0,FOR student loan forgiveness,1,Somewhat important
