experiment_id,experiment_group,text,tweet_id,likes,retweets,created_at,user_id,in_reply_to_status_id,in_reply_to_user_id,in_reply_to_screen_name,screen_name
0,usedgov,@usedgov why are my student loans not transferring from Nelnet to Mohela?  I got approved for PSLF months ago and haven’t heard a word since July.  Can someone please do their job??,1599892493167865856,0,0,Mon Dec 05 22:24:29 +0000 2022,792517092662767616,,20437286,usedgov,susan_cole2
1,usedgov,@usedgov still waiting for a reply on my application for student loan forgiveness?,1599494157336457216,0,0,Sun Dec 04 20:01:38 +0000 2022,255049823,,20437286,usedgov,CoachACraig
2,usedgov,@usedgov @SecCardona @usesgov @potus #studentloanforgiveness #ppploans it should be brought before the appellate court the suggestion that if Biden does not have the authority to forgive student loans then Trump didn't have the authority to forgive PPP Loans that only helped the wealthy even Senators,1598411747349913601,0,0,Thu Dec 01 20:20:32 +0000 2022,1477370850147983367,1595157984480759808,20437286,usedgov,fabulosi_t
3,usedgov,@usedgov @usesgov @potus #studentloanforgiveness #ppploans it should be brought before the appellate court the suggestion that if Biden does not have the authority to forgive student loans then Trump didn't have the authority to forgive PPP Loans that only helped the wealthy even Senators,1598411674444353546,1,0,Thu Dec 01 20:20:14 +0000 2022,1477370850147983367,1595157980529700864,20437286,usedgov,fabulosi_t
4,usedgov,@usedgov I applied for student loan forgiveness on October 15. I still haven't received an email telling me whether or not I've been approved.,1597941992130244609,3,0,Wed Nov 30 13:13:53 +0000 2022,39352523,,20437286,usedgov,BroRo117
5,usedgov,@usedgov Wait times for customer service @MOHELA are currently 4 HOURS. This organization does not have the capacity to provide federal student loan service.  Please investigate.,1597688060283883522,1,0,Tue Nov 29 20:24:51 +0000 2022,67606504,1595157980529700864,20437286,usedgov,sarah_brannen
6,foxnews,"@FoxNews The Democrats don’t seem to be trying to pass the student loan repayment bill. Well, everyone learns sooner or later how the Democrats lie to get votes. Millennials and Gen Z got played",1599903728865521664,0,0,Mon Dec 05 23:09:08 +0000 2022,1586127809658777600,1599901481238405141,1367531,FoxNews,taylorados
7,foxnews,@FoxNews Just another way of screwing the taxpayers and the middle class there are no slaves alive today this is madness this is the same as paying for student loans all to screw the American people and they don't care about the homeless either,1599894491393306624,0,0,Mon Dec 05 22:32:26 +0000 2022,1518825134307483648,1599350561836605442,1367531,FoxNews,Maureen4Freedom
8,foxnews,@FoxNews He still trying to get college students to vote with the promise of student loans...Democrats will say anything to get votes...,1599862878256844800,4,0,Mon Dec 05 20:26:48 +0000 2022,1581359233513160704,1599843564128817152,1367531,FoxNews,JamesMcGeary7
9,foxnews,"@FoxNews I don't need any bias media to tell me that the Dems want to:
- forgive student loans
- force vaccination
- open border
- restrict gun ownership

I can see those in their own speeches and policies, and that's enough for me to never listen to a Dem again.",1599858531187843072,0,0,Mon Dec 05 20:09:32 +0000 2022,1585730763349164033,1599766812706672640,1367531,FoxNews,tnam_le
10,foxnews,@FoxNews I disagree with Trump on this one. Just like the president forgiving student loans unconstitutional is wrong no matter whose idea it is.,1599795660626464769,0,0,Mon Dec 05 15:59:42 +0000 2022,1586737201248813061,1599491023608201218,1367531,FoxNews,RichEsquivelSr
11,foxnews,"@FoxNews Sounds like the student loan vote buy,",1599771650232180737,0,0,Mon Dec 05 14:24:18 +0000 2022,2342521418,1599350561836605442,1367531,FoxNews,LemonsDarren
12,foxnews,@FoxNews I'm guessing everyone on here who doesn't have usable reading skills wants their student loans forgiven?,1599769409270448128,1,0,Mon Dec 05 14:15:24 +0000 2022,1966966705,1599491023608201218,1367531,FoxNews,devjr77
13,foxnews,"@FoxNews dems have trampled all over and in many ways totally disregarded the Constitution, ex the southern border, the student loan handout, the vaccine mandate, and illegal gun laws in many states. Now they want to get self-righteous about honoring the Constitution; is this a joke?",1599724051701805056,0,0,Mon Dec 05 11:15:10 +0000 2022,1462730298831958017,1599557939706187777,1367531,FoxNews,wileysee
14,foxnews,"@FoxNews More vote-buying that will never happen. Just like Biden's fake ""student loan forgiveness.""",1599657849076187136,0,0,Mon Dec 05 06:52:06 +0000 2022,854540212805844992,1599350561836605442,1367531,FoxNews,jesse_zabriski
15,foxnews,@FoxNews Insanity. Same griff as student loans.,1599632005607862272,0,0,Mon Dec 05 05:09:24 +0000 2022,1436370790019002372,1599350561836605442,1367531,FoxNews,Flyfisha2
16,foxnews,@FoxNews Same democratic scam as student loan illegal vote buying mess.,1599593073033740288,0,0,Mon Dec 05 02:34:42 +0000 2022,1180253834838515726,1599350561836605442,1367531,FoxNews,Punkk61
17,foxnews,"@FoxNews Rather see student loan forgiveness for 90,000 and under not 125,000",1599591767611170817,0,0,Mon Dec 05 02:29:31 +0000 2022,1587106169952342021,1599350561836605442,1367531,FoxNews,Barbara14849202
18,foxnews,"@FoxNews They know this is won't pass, like the student loan debt crap Biden pushed for. There is another agenda and when it fails, they will just blame the republicans.",1599576965870399488,0,0,Mon Dec 05 01:30:42 +0000 2022,1586039699973472262,1599350561836605442,1367531,FoxNews,SamW_2008
19,foxnews,@FoxNews And Little Joey called to cancel student loans to get the 20 year olds to vote...moving the DNC primary from Iowa to SC...Gavin is handing out 1/4 million dollar checks...begs to question just how bad and unpopular their policies really are,1599553699801493504,1,0,Sun Dec 04 23:58:14 +0000 2022,1444791490430054407,1599350561836605442,1367531,FoxNews,CelestrialVoice
20,foxnews,"@FoxNews Dems have bought votes before (see Automakers bailout and Student Loan “forgiveness”), but never at this high a price tag!",1599548484293603328,0,0,Sun Dec 04 23:37:31 +0000 2022,827098045,1599350561836605442,1367531,FoxNews,rstahl1972
21,foxnews,@FoxNews Ok go for it buddy! How long will this go on years just this generation? Your buying votes just like joe did with student loans !,1599545724362162176,0,0,Sun Dec 04 23:26:33 +0000 2022,938024949922402304,1599350561836605442,1367531,FoxNews,CharlesDennisH2
22,foxnews,@FoxNews What about every relative descended from everyone as far back as can be traced? Are new born African American babies given a $223k bank account? You see this gets ridiculous. Just like student loans this is buying votes.,1599540068695552001,1,0,Sun Dec 04 23:04:05 +0000 2022,1466134045759348743,1599350561836605442,1367531,FoxNews,hopfukka
