user_id,created_at,description,location,followers_count,screen_name,statuses_count,favourites_count,verified
255049823,Sun Feb 20 15:25:46 +0000 2011,"Personal Account {opinions are my own}
         Father to (Aubrey, Kalea, & Cadence) Professional Account: @HealthPEClass","Junction City, KS",1441,CoachACraig,8342,12051,False
1513290936,Thu Jun 13 12:49:51 +0000 2013,,,12,stonescience50,836,1151,False
884113772566253569,Sun Jul 09 18:15:24 +0000 2017,Ambition, Ghana,312,JosephoppongK,9581,3376,False
14372270,Sun Apr 13 02:00:29 +0000 2008,won a huge campaign. always fighting for someone i don’t know. alum @berniesanders. organizer. free college.#cancelstudentdebt,"philly. (and dc, nyc, and ca)",34947,mcbyrne,173199,82123,True
849439823991627777,Wed Apr 05 01:53:30 +0000 2017,"Abortion is a right
GOP is trash
#blacklivesmatter
LGBTQ ally
Wine
#medicareforall
Masshole",,497,forrreeeal,32060,56018,False
14372270,Sun Apr 13 02:00:29 +0000 2008,won a huge campaign. always fighting for someone i don’t know. alum @berniesanders. organizer. free college.#cancelstudentdebt,"philly. (and dc, nyc, and ca)",34947,mcbyrne,173199,82123,True
1372668130200289285,Thu Mar 18 21:56:20 +0000 2021,Somebody with ideas for life,,33,icylog2,3150,390,False
25962170,Mon Mar 23 05:55:58 +0000 2009,Enthusiastic Democratic Party loyalist.,Everywhere,1933,MyPresident21,187768,226515,False
1165277418728382464,Sat Aug 24 15:00:23 +0000 2019,"IMSLP Administrator, Video Game Enthusiast.",,8,Fingergun112,3168,185,False
40370115,Sat May 16 00:25:30 +0000 2009,,,47,janethinde,3398,5359,False
1569207799661436935,Mon Sep 12 06:15:04 +0000 2022,,United States,164,CosmOOOOOw,7031,7733,False
40370115,Sat May 16 00:25:30 +0000 2009,,,47,janethinde,3398,5359,False
1508094147550490627,Sun Mar 27 14:56:20 +0000 2022,Fitzgerald lover.,,50,whereismytrx,1971,3900,False
3433409499,Thu Aug 20 23:13:58 +0000 2015,Support #S2598 #HR4907 #CancelAllStudentDebt. #CancelStudentDebt @studentloanjus1,"Chicago,IL",390,MoneyVisCoach,64337,52015,False
1546617761606107139,Mon Jul 11 22:09:57 +0000 2022,Let's end one of the biggest scams in American history. Cancel student loan debt for everyone!,,149,ScamLoan,2767,3147,False
1088914580582121474,Fri Jan 25 21:40:41 +0000 2019,"Hey Tweeps...If you followed @inch2high, it’s been suspended, so this is the secondary account. Please follow. 😘🐝💛💙","Georgia, USA",209,DovelyPeaches,28711,15495,False
1074601981,Wed Jan 09 18:56:52 +0000 2013,"I am a black woman, but don't get it twisted. I am not your negro. I am not your mule. Don't police my timeline.
She/Hers/That Bitch",United States,6109,VeeCeeMurphy76,125737,362491,False
1082086081238102018,Mon Jan 07 01:26:40 +0000 2019,"Mom, Educator, Congresswoman for CT-05 #HayesInTheHouse","Waterbury, CT",44178,RepJahanaHayes,5152,741,True
40370115,Sat May 16 00:25:30 +0000 2009,,,47,janethinde,3398,5359,False
1073979356651892747,Sat Dec 15 16:33:27 +0000 2018,"Champion 4 ALL Ss, Ts, & Admin. |Ed. Assoc., Educator Equity & Recruitment (Educator Excellence Workgroup) @DEDeptofEd | Wife | Mom | Education Podcast Host🎧","Delaware, USA",3171,AnnHC_Champ4All,40661,40564,False
256778980,Thu Feb 24 01:58:53 +0000 2011,"father, cerebral palsy advocate, husband, & tinkerer.","Lansing, MI",236,westmontave,5734,20058,False
1588569374868361218,Fri Nov 04 16:31:12 +0000 2022,,,10,MichelleCCamp,205,203,False
3433409499,Thu Aug 20 23:13:58 +0000 2015,Support #S2598 #HR4907 #CancelAllStudentDebt. #CancelStudentDebt @studentloanjus1,"Chicago,IL",390,MoneyVisCoach,64337,52015,False
